ID	Name	Description	Mark	Path	Category	Note
K00338	nuoI	NADH-quinone oxidoreductase subunit I	_+__	Oxidative phosphorylation	Energy metabolism	
K00331	nuoB	NADH-quinone oxidoreductase subunit B	_+__	Oxidative phosphorylation	Energy metabolism	
K00340	nuoK	NADH-quinone oxidoreductase subunit K	_+__	Oxidative phosphorylation	Energy metabolism	
K00335	nuoF	NADH-quinone oxidoreductase subunit F	__++	Oxidative phosphorylation	Energy metabolism	
K02124	ATPVK	V/A-type H+/Na+-transporting ATPase subunit K	__++	Oxidative phosphorylation	Energy metabolism	
K02120	ATPVD	V/A-type H+/Na+-transporting ATPase subunit D	__++	Oxidative phosphorylation	Energy metabolism	
K00334	nuoE	NADH-quinone oxidoreductase subunit E	__++	Oxidative phosphorylation	Energy metabolism	
K02121	ATPVE	V/A-type H+/Na+-transporting ATPase subunit E	__++	Oxidative phosphorylation	Energy metabolism	
K02118	ATPVB	V/A-type H+/Na+-transporting ATPase subunit B	__++	Oxidative phosphorylation	Energy metabolism	
K02123	ATPVI	V/A-type H+/Na+-transporting ATPase subunit I	__++	Oxidative phosphorylation	Energy metabolism	
K02119	ATPVC	V/A-type H+/Na+-transporting ATPase subunit C	___+	Oxidative phosphorylation	Energy metabolism	
K02122	ATPVF	V/A-type H+/Na+-transporting ATPase subunit F	___+	Oxidative phosphorylation	Energy metabolism	
K02117	ATPVA	V/A-type H+/Na+-transporting ATPase subunit A	__++	Oxidative phosphorylation	Energy metabolism	
K01507	ppa	inorganic pyrophosphatase	___+	Oxidative phosphorylation	Energy metabolism	
K02112	ATPF1B	F-type H+/Na+-transporting ATPase subunit beta	__--	Photosynthesis	Energy metabolism	
K02110	ATPF0C	F-type H+-transporting ATPase subunit c	__-_	Photosynthesis	Energy metabolism	
K02115	ATPF1G	F-type H+-transporting ATPase subunit gamma	__--	Photosynthesis	Energy metabolism	
K02109	ATPF0B	F-type H+-transporting ATPase subunit b	__--	Photosynthesis	Energy metabolism	
K02114	ATPF1E	F-type H+-transporting ATPase subunit epsilon	__--	Photosynthesis	Energy metabolism	
K02108	ATPF0A	F-type H+-transporting ATPase subunit a	__--	Photosynthesis	Energy metabolism	
K02113	ATPF1D	F-type H+-transporting ATPase subunit delta	___-	Photosynthesis	Energy metabolism	
K02046	cysU	sulfate/thiosulfate transport system permease protein	_---	Sulfur metabolism-cysFamily	Energy metabolism	
K02045	cysA	sulfate/thiosulfate transport system ATP-binding protein	_---	Sulfur metabolism-cysFamily	Energy metabolism	
K02048	cysP	sulfate/thiosulfate transport system substrate-binding protein	___-	Sulfur metabolism-cysFamily	Energy metabolism	
K02047	cysW	sulfate/thiosulfate transport system permease protein	_-_-	Sulfur metabolism-cysFamily	Energy metabolism	
K00394	aprA	"adenylylsulfate reductase, subunit A"	_---	Sulfur metabolism-aprFamily	Energy metabolism	
K00395	aprB	"adenylylsulfate reductase, subunit B"	_---	Sulfur metabolism-aprFamily	Energy metabolism	
K00385	asrC	anaerobic sulfite reductase subunit C	++++	Sulfur metabolism-asrFamily	Energy metabolism	
K16951	asrB	anaerobic sulfite reductase subunit B	_+++	Sulfur metabolism-asrFamily	Energy metabolism	
K16950	asrA	anaerobic sulfite reductase subunit A	_+++	Sulfur metabolism-asrFamily	Energy metabolism	
K03388	hdrA2	heterodisulfide reductase subunit A2	+_++	Methanogenesis	Energy metabolism	
K03389	hdrB2	heterodisulfide reductase subunit B2	+_++	Methanogenesis	Energy metabolism	
K03390	hdrC2	heterodisulfide reductase subunit C2	+_++	Methanogenesis	Energy metabolism	
K00194	cdhD	"acetyl-CoA decarbonylase/synthase, CODH/ACS complex subunit delta"	___+	Acetyl_CoA pathway	Energy metabolism	
K00196	cooF	anaerobic carbon-monoxide dehydrogenase iron sulfur subunit	__++	Acetyl_CoA pathway	Energy metabolism	
K00197	cdhE	"acetyl-CoA decarbonylase/synthase, CODH/ACS complex subunit gamma"	___+	Acetyl_CoA pathway	Energy metabolism	
K03385	nrfA	nitrite reductase (cytochrome c-552)	__+_	Nitrogen metabolism	Energy metabolism	
K02588	nifH	nitrogenase iron protein NifH	___+	Nitrogen metabolism	Energy metabolism	
K02566	nagD	5'-nucleotidase	+__+	Purine metabolism	Nucleotide metabolism	
K00602	purH	phosphoribosylaminoimidazolecarboxamide formyltransferase / IMP cyclohydrolase	_+__	Purine metabolism	Nucleotide metabolism	
K01588	purE	5-(carboxyamino)imidazole ribonucleotide mutase	_+__	Purine metabolism	Nucleotide metabolism	
K01081	E3.1.3.5	5'-nucleotidase	_+__	Purine metabolism	Nucleotide metabolism	
K05810	LACC1	purine-nucleoside/S-methyl-5'-thioadenosine phosphorylase / adenosine deaminase	_+__	Purine metabolism	Nucleotide metabolism	
K03787	surE	5'/3'-nucleotidase	_+__	Purine metabolism	Nucleotide metabolism	
K07127	uraH	5-hydroxyisourate hydrolase	_++_	Purine metabolism	Nucleotide metabolism	
K13479	ygeT	xanthine dehydrogenase FAD-binding subunit	__++	Purine metabolism	Nucleotide metabolism	
K01487	guaD	guanine deaminase	__++	Purine metabolism	Nucleotide metabolism	
K09769	ymdB	"2',3'-cyclic-nucleotide 2'-phosphodiesterase"	___+	Purine metabolism	Nucleotide metabolism	
K01951	guaA	GMP synthase (glutamine-hydrolysing)	___+	Purine metabolism	Nucleotide metabolism	
K00087	ygeS	xanthine dehydrogenase molybdenum-binding subunit	___+	Purine metabolism	Nucleotide metabolism	
K01239	E3.2.2.1	purine nucleosidase	___+	Purine metabolism	Nucleotide metabolism	
K00254	DHODH	dihydroorotate dehydrogenase	_++_	Pyrimidine metabolism	Nucleotide metabolism	
K01520	dut	dUTP pyrophosphatase	_+__	Pyrimidine metabolism	Nucleotide metabolism	
K01464	DPYS	dihydropyrimidinase	___+	Pyrimidine metabolism	Nucleotide metabolism	
K16329	psuG	pseudouridylate synthase	__++	Pyrimidine metabolism	Nucleotide metabolism	
K05592	deaD	ATP-dependent RNA helicase DeaD	___-	RNA degradation	Genetic Information Processing	
K12573	rnr	ribonuclease R	___-	RNA degradation	Genetic Information Processing	
K03654	recQ	ATP-dependent DNA helicase RecQ	___-	RNA degradation	Genetic Information Processing	
K02433	gatA	aspartyl-tRNA(Asn)/glutamyl-tRNA(Gln) amidotransferase subunit A	__-_	Aminoacyl-tRNA biosynthesis	Genetic Information Processing	
K02435	gatC	aspartyl-tRNA(Asn)/glutamyl-tRNA(Gln) amidotransferase subunit C	__-_	Aminoacyl-tRNA biosynthesis	Genetic Information Processing	
K02954	RP-S14	small subunit ribosomal protein S14	++_+	Ribosome	Genetic Information Processing	
K02992	RP-S7	small subunit ribosomal protein S7	___+	Ribosome	Genetic Information Processing	
K02970	RP-S21	small subunit ribosomal protein S21	___+	Ribosome	Genetic Information Processing	
K02916	RP-L35	large subunit ribosomal protein L35	___+	Ribosome	Genetic Information Processing	
K02342	dnaQ	DNA polymerase III subunit epsilon	+___	DNA replication	Genetic Information Processing	
K01972	E6.5.1.2	DNA ligase (NAD+)	___+	DNA replication	Genetic Information Processing	
K01142	E3.1.11.2	exodeoxyribonuclease III	_+_+	Base excision repair	Genetic Information Processing	
K01151	nfo	deoxyribonuclease IV	_-__	Base excision repair	Genetic Information Processing	
K03660	OGG1	N-glycosylase/DNA lyase	_--_	Base excision repair	Genetic Information Processing	
K10773	NTH	endonuclease III	___+	Base excision repair	Genetic Information Processing	
K04487	iscS	cysteine desulfurase	_--_	Sulfur relay system	Genetic Information Processing	
K03154	thiS	sulfur carrier protein	___-	Sulfur relay system	Genetic Information Processing	
K21140	mec	[CysO sulfur-carrier protein]-S-L-cysteine hydrolase	_-_-	Sulfur relay system	Genetic Information Processing	
K21028	ynjE	molybdopterin synthase sulfurtransferase	__++	Sulfur relay system	Genetic Information Processing	
K18344	vanRB	"two-component system, OmpR family, response regulator VanR"	_-_+	Vancomycin resistance	Vancomycin resistance	
K18345	vanSB	"two-component system, OmpR family, sensor histidine kinase VanS"	_-_+	Vancomycin resistance	Vancomycin resistance	
K18350	vanSC	"two-component system, OmpR family, sensor histidine kinase VanS"	___+	Vancomycin resistance	Vancomycin resistance	
K18346	vanW	vancomycin resistance protein VanW	___+	Vancomycin resistance	Vancomycin resistance	
